@relation touch-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Llast-weka.filters.unsupervised.attribute.Remove-R11-12

@attribute pressure numeric
@attribute size numeric
@attribute touchmajor numeric
@attribute touchminor numeric
@attribute duration numeric
@attribute flytime numeric
@attribute shake numeric
@attribute orientation numeric
@attribute type numeric
@attribute class {2befe3dcb10c2ad0,Others}

@data
1,0.016667,4.5,4,96,142,10.674575,1,2,2befe3dcb10c2ad0
1,0.016667,5,3.5,89,0,8.754224,1,2,2befe3dcb10c2ad0
1,0.014379,4.333334,3,109,79,61.15071,1,2,2befe3dcb10c2ad0
1,0.014706,4,3.5,111,147,21.972656,1,2,2befe3dcb10c2ad0
1,0.016078,4.4,3.8,143,123,43.784832,1,2,2befe3dcb10c2ad0
1,0.017157,4.75,4,138,287,107.792244,1,2,2befe3dcb10c2ad0
1,0.016176,4.75,3.5,105,97,4.159623,1,2,2befe3dcb10c2ad0
1,0.015033,4.333334,3.333333,104,523,44.931164,1,2,2befe3dcb10c2ad0
1,0.014052,4.166666,3,79,206,114.90138,1,2,2befe3dcb10c2ad0
1,0.014216,4,3.25,107,0,23.368504,1,1,2befe3dcb10c2ad0
1,0.016667,4.75,3.75,82,104,15.609287,1,1,2befe3dcb10c2ad0
1,0.018039,5,4.2,86,139,0.718769,1,1,2befe3dcb10c2ad0
1,0.018301,5.333334,4,112,116,98.45236,1,1,2befe3dcb10c2ad0
1,0.01634,4.666666,3.666667,70,35,95.190674,1,1,2befe3dcb10c2ad0
