@relation touch-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Llast-weka.filters.unsupervised.attribute.Remove-R11-12

@attribute pressure numeric
@attribute size numeric
@attribute touchmajor numeric
@attribute touchminor numeric
@attribute duration numeric
@attribute flytime numeric
@attribute shake numeric
@attribute orientation numeric
@attribute type numeric
@attribute class {fb58815420addb16,Others}

@data
0.163137,0.055872,96,64.8,58,95,76.41474,1,1,fb58815420addb16
0.171242,0.084781,143,101,74,0,20.29031,1,1,fb58815420addb16
0.166947,0.07803,133.71428,90.85714,89,310,47.05147,1,1,fb58815420addb16
0.166013,0.064628,109,77,72,233,23.74318,1,1,fb58815420addb16
0.164706,0.049618,78,64.8,52,151,0.399272,1,1,fb58815420addb16
0.160784,0.074456,120,94.28571,80,457,6.780034,1,1,fb58815420addb16
0.163866,0.065373,109.28571,78.85714,167,95,22.935627,1,1,fb58815420addb16
0.172549,0.064976,102,85,64,142,122.32548,1,1,fb58815420addb16
0.163235,0.068277,117,79.5,102,60,177.55188,1,1,fb58815420addb16
0.165826,0.053906,87.42857,67.71429,86,33,31.652935,1,1,fb58815420addb16
0.164706,0.04378,70.5,55.5,88,710,117.36402,1,1,fb58815420addb16
0.165196,0.061501,101.25,75.75,98,80,45.853954,1,1,fb58815420addb16
0.165686,0.058895,93.75,75.75,108,97,12.676335,1,1,fb58815420addb16
0.163137,0.052953,80.4,72,36,702,26.963614,1,1,fb58815420addb16
0.170588,0.077484,127,96,139,193,25.988195,1,1,fb58815420addb16
0.176471,0.083093,132,107.14286,83,0,21.835938,1,1,fb58815420addb16
0.16549,0.079639,125.4,103.8,128,8,149.6383,1,1,fb58815420addb16
0.173203,0.07401,115,98,55,97,22.31921,1,1,fb58815420addb16
0.17535,0.069096,104.57143,94.28571,81,115,38.58696,1,1,fb58815420addb16
0.166667,0.059764,97,75,68,17,25.679066,1,1,fb58815420addb16
0.164146,0.059863,102,70.28571,86,187,76.5313,1,1,fb58815420addb16
0.168067,0.07535,126.85714,90,69,398,54.960835,1,1,fb58815420addb16
0.164706,0.048645,77,63,54,218,37.221188,1,1,fb58815420addb16
